证券代码,证券简称,"经营活动产生的现金流量净额/流动负债
[报告期] 2017一季","经营活动产生的现金流量净额/流动负债
[报告期] 2017中报","经营活动产生的现金流量净额/流动负债
[报告期] 2017三季","经营活动产生的现金流量净额/流动负债
[报告期] 2017年报","经营活动产生的现金流量净额/流动负债
[报告期] 2018一季","经营活动产生的现金流量净额/流动负债
[报告期] 2018中报","资产负债率
[报告期] 2017一季
[单位] %","资产负债率
[报告期] 2017中报
[单位] %","资产负债率
[报告期] 2017三季
[单位] %","资产负债率
[报告期] 2017年报
[单位] %","资产负债率
[报告期] 2018一季
[单位] %","资产负债率
[报告期] 2018中报
[单位] %","债项评级
[交易日期] 2018-09-14
[评级机构] 全部评级机构","债项评级
[交易日期] 2018-06-29
[评级机构] 全部评级机构","债项评级
[交易日期] 2018-03-30
[评级机构] 全部评级机构","债项评级
[交易日期] 2017-12-29
[评级机构] 全部评级机构","债项评级
[交易日期] 2017-09-29
[评级机构] 全部评级机构","估价收益率(上清所)
[日期] 2018-09-14","估价收益率(上清所)
[日期] 2018-06-29","估价收益率(上清所)
[日期] 2018-03-30","估价收益率(上清所)
[日期] 2017-12-29","估价收益率(上清所)
[日期] 2017-09-29","估价修正久期(上清所)
[日期] 2018-09-14","估价修正久期(上清所)
[日期] 2018-06-29","估价修正久期(上清所)
[日期] 2018-03-30","估价修正久期(上清所)
[日期] 2017-12-29","估价修正久期(上清所)
[日期] 2017-09-29"
111026.SZ,05粤交通,0.0844,0.2602,0.4089,0.481,0.1061,0.2935,72.0115,71.264,70.9783,70.866,71.089,71.8168,AAA,AAA,AAA,AAA,AAA,4.1398,4.8593,5.0476,5.3906,4.7275,1.6675,1.8569,1.9978,2.2272,2.4807
111032.SZ,06鲁能债,,0.1174,,0.2386,,0.0359,,75.1384,,74.7875,,71.9297,AAA,AAA,AAA,AAA,AAA,4.1413,4.6063,4.9676,5.2755,4.6173,2.6404,2.7131,2.9395,3.1663,3.4277
111050.SZ,09华菱债,0.015,0.0346,0.0386,0.0831,0.0409,0.1448,84.4842,79.3388,77.7309,66.7885,65.3423,63.2233,AA+,AA+,AA+,AA,AA,6.5725,6.8883,6.8886,9.4602,8.8946,0.4157,0.6115,0.8365,0.9813,1.2157
111062.SZ,10并高铁,,0.1154,,0.1699,,-0.0589,,28.3383,,27.0562,,26.8775,AA+,AA+,AA+,AA+,AA+,4.7754,5.6259,5.5377,5.9219,5.1994,1.4503,1.146,1.3837,1.6117,1.8643
111068.SZ,16清新G1,0.0039,0.0106,0.008,-0.0133,-0.0173,0.0275,62.5918,62.3999,61.494,63.309,61.5386,60.074,AA,AA,AA,AA,AA,4.5901,4.5206,4.6076,4.8628,4.5897,1.0269,1.2307,1.4666,1.6964,1.8754
111069.SZ,16格林G1,0.0111,0.0131,0.0218,0.0236,0.0099,0.0373,60.9456,61.286,64.0624,64.5108,64.8733,64.737,AA,AA,AA,AA,AA,5.1767,5.4194,5.4751,5.6946,5.2777,2.7186,2.9075,3.1411,3.366,3.4676
111070.SZ,17恒逸01,0.007,0.0182,0.0415,0.0312,0.0055,0.0254,61.0658,61.2088,60.3309,60.8868,63.8613,64.7841,AA+,AA+,AA,AA,AA,7.6126,7.4923,7.3494,7.6781,7.7902,3.2993,3.2165,3.4549,3.6231,3.8466
111071.SZ,18河钢G1,0.0425,0.0514,0.1064,0.1449,0.0377,0.037,74.7918,74.9307,74.4907,74.9358,74.9877,73.8035,AAA,AAA,AAA,,,5.0689,5.3001,,,,3.8468,4.0361,,,
111072.SZ,18美尚01,-0.0938,-0.0911,-0.1269,-0.0596,-0.0131,0.0316,45.5234,50.1003,49.8655,58.112,56.8066,57.78,AAA,,,,,,,,,,,,,,
112025.SZ,11珠海债,0.0648,0.1299,0.1732,0.3948,0.0178,0.0599,48.6968,48.9459,49.7912,47.7613,50.2511,51.2371,AA,AA,AA,AA,AA,3.9039,4.9844,5.0825,5.6297,5.011,0.4521,0.6495,0.8794,1.0453,1.2892
112027.SZ,11新兴02,0.0121,0.0472,0.0629,0.1611,0.0344,0.0814,59.6125,59.487,58.8806,57.9449,57.4785,57.4637,AAA,AAA,AAA,AAA,AAA,4.5457,5.0844,5.2175,5.5282,4.8747,2.2527,2.4408,2.6744,2.7636,3.0222
112034.SZ,11陕气债,0.0661,0.1264,0.1603,0.3003,0.1124,0.2182,46.7689,46.8942,46.2785,46.6916,48.7744,49.8574,AA+,AA+,AA+,AA+,AA+,3.6973,4.7294,4.9203,5.3602,4.6949,0.826,0.9574,1.1932,1.4246,1.6721
112044.SZ,11中泰01,-0.0464,0.0626,0.1363,0.1478,0.0006,0.0221,65.4434,65.5298,65.4852,65.5794,66.944,67.1046,AA,AA,AA,AA,AA,3.6426,4.934,5.2959,5.8015,5.2199,0.1363,0.3421,0.5789,0.8069,0.9754
112051.SZ,11报喜02,-0.0258,-0.0422,0.0603,0.2718,-0.0018,-0.048,39.2604,35.7184,36.367,40.6285,37.7345,34.4217,AA,AA,AA,AA,AA,6.9978,7.5503,7.7919,8.3388,7.8072,0.1919,0.3934,0.623,0.8407,1.0032
112052.SZ,11许继债,-0.1176,-0.107,-0.1133,-0.0049,-0.0483,-0.073,45.4854,48.2914,46.3483,46.9273,43.8127,44.6002,AA+,AA+,AA,AA,AA,3.8024,5.0351,5.3066,5.8461,4.8888,0.2093,0.4131,0.6481,0.8735,1.0534
112059.SZ,11联化债,0.0926,0.1901,0.4466,0.427,0.0141,0.0467,23.9211,35.0663,33.6307,34.8399,32.2369,27.3956,AA,AA,AA,AA,AA,4.0289,5.1263,5.2318,5.7856,5.1678,0.4307,0.6284,0.8583,1.0191,1.2625
112067.SZ,11冀东02,-0.0035,0.0344,0.0882,0.1219,0.0087,0.0501,73.8052,73.2297,72.3242,72.5263,73.4188,72.6709,AA+,AA+,AA+,AA+,AA+,5.0599,6.8451,6.5347,6.8329,6.219,1.3868,1.5603,1.799,1.9288,2.176
112070.SZ,12中泰债,-0.0464,0.0626,0.1363,0.1478,0.0006,0.0221,65.4434,65.5298,65.4852,65.5794,66.944,67.1046,AA,AA,AA,AA,AA,4.1636,5.2047,5.2922,5.8191,5.1978,0.5069,0.7021,0.9299,1.1,1.3438
112073.SZ,11三钢02,0.1231,0.1989,0.3242,0.7175,0.029,0.2823,42.6573,38.0228,38.5706,30.094,31.1119,35.7125,AA,AA,AA,AA,AA,6.5943,6.7589,6.6818,7.0934,6.5309,0.5467,0.7392,0.9002,1.1294,1.3697
112076.SZ,12雅致02,-0.0654,0.0013,0.0553,-0.067,-0.2363,-0.1466,57.2265,58.8108,62.7254,59.4222,61.7951,63.8818,AA+,AA+,AA+,AA+,AA+,4.2037,5.2149,5.2841,5.7942,5.1702,0.5565,0.7503,0.9169,1.1479,1.3921
112109.SZ,12南糖债,-0.245,-0.2893,-0.194,-0.2096,-0.2106,-0.2312,79.5815,77.3692,78.0112,80.8403,85.3076,88.1382,AA,AA,AA,AA,AA,8.1386,8.2742,6.7511,7.0465,6.4488,0.8668,1.0605,1.31,1.5391,1.7823
112114.SZ,12冀东02,-0.0035,0.0344,0.0882,0.1219,0.0087,0.0501,73.8052,73.2297,72.3242,72.5263,73.4188,72.6709,AA+,AA+,AA+,AA+,AA+,6.4957,6.6154,6.3299,6.8816,6.2779,0.9636,1.1603,1.398,1.6238,1.7653
112115.SZ,12冀东03,-0.0035,0.0344,0.0882,0.1219,0.0087,0.0501,73.8052,73.2297,72.3242,72.5263,73.4188,72.6709,AA+,AA+,AA+,AA+,AA+,6.4808,6.9346,6.7662,7.607,7.0228,3.3256,3.5033,3.7444,3.9368,3.9531
112117.SZ,12福发债,-0.3247,-0.2451,-0.3103,0.1024,-0.2404,-0.2608,18.8901,23.8194,23.5955,25.5145,22.5886,23.4679,AA+,AA+,AA+,AA+,AA+,3.4693,4.8234,5.2209,5.7071,5.1409,0.0901,0.2971,0.5353,0.7651,0.9342
112121.SZ,12景兴债,-0.1808,-0.0401,-0.0145,-0.0065,0.0864,0.1162,39.3567,39.1284,37.6686,36.8297,34.1582,35.215,AA,AA,AA,AA,AA,7.8202,7.9313,7.6442,7.9317,7.1894,0.9651,1.1595,1.3944,1.6215,0.067
112123.SZ,12中山01,0.0236,0.0567,0.1513,0.2241,0.0704,0.1251,22.5185,27.8248,22.613,22.7687,22.9853,27.5026,AA+,AA+,AA+,AA+,AA+,3.6749,4.5063,4.6438,5.0246,4.4379,1.0314,1.2247,1.4612,1.6932,1.846
112128.SZ,12湘金01,0.0493,0.1449,0.2877,0.2885,-0.0037,0.0901,31.2549,31.986,31.3876,32.6739,31.221,28.8001,AA+,AA+,AA+,AA+,AA+,5.0817,5.836,5.8389,6.2054,5.4723,1.0388,1.2304,1.4659,1.6954,0.1025
112139.SZ,12北新债,-0.0333,-0.006,-0.0282,0.0331,-0.0257,0.0141,78.4905,79.5275,80.0862,83.4191,82.4528,82.8667,AA,AA,AA,AA,AA,4.3733,5.5804,5.7964,6.3653,5.7532,0.26,0.4618,0.6942,0.9159,1.1012
112140.SZ,12基地债,-0.0654,0.0013,0.0553,-0.067,-0.2363,-0.1466,57.2265,58.8108,62.7254,59.4222,61.7951,63.8818,AAA,AAA,AA+,AA+,AA+,4.8784,4.9517,4.6506,4.9373,4.3512,1.1447,1.3449,1.5872,1.8203,1.9699
112142.SZ,12格林债,0.0111,0.0131,0.0218,0.0236,0.0099,0.0373,60.9456,61.286,64.0624,64.5108,64.8733,64.737,AA,AA,AA,AA,AA,5.5382,6.1174,6.1626,6.4931,6.0763,1.976,2.1626,2.3964,2.6223,1.4831
112143.SZ,12粤电01,-0.0546,0.0169,-0.0044,0.0202,-0.0143,0.0141,82.6744,83.251,83.5365,83.3217,83.0715,83.3269,AA,AA,AA,AA,AA,4.297,5.4595,5.6066,6.183,5.5648,0.3402,0.5398,0.7707,0.9414,1.1834
112154.SZ,12盐湖01,-0.021,0.0167,0.015,0.0543,0.058,0.084,68.7342,68.9647,69.112,73.0204,72.5229,73.5301,AAA,AAA,AAA,AAA,AAA,4.5811,5.2672,5.4865,5.0107,5.1111,1.3557,1.547,1.78,0.1718,0.4072
112162.SZ,12粤电债,0.0276,0.0876,0.184,0.1909,0.0788,0.1737,58.09,58.8393,58.2094,58.1694,58.32,59.4752,AAA,AAA,AAA,AAA,AAA,3.8702,4.5274,4.77,4.8402,4.7901,1.4031,1.5958,1.83,0.2057,0.4446
112171.SZ,12久联债,0.0128,0.0206,0.0527,0.1633,-0.0567,-0.067,66.1942,68.0672,67.8863,69.2195,68.7336,69.4688,AA,AA,AA,AA,AA,4.6883,5.2915,5.2987,5.422,4.9947,1.4817,1.6733,0.9479,1.1784,2.2904
112179.SZ,13南洋债,-0.4874,-0.6261,-0.4213,0.1472,-0.1039,-0.1476,13.4242,14.2745,16.4808,16.523,16.6438,17.0076,AA,AA,AA,AA,AA,5.3831,5.9796,5.9428,5.9924,5.7746,1.5636,1.7536,1.0219,0.3904,1.4995
112190.SZ,11亚迪02,-0.033,-0.0445,0.0076,0.0606,-0.002,-0.0135,61.5018,62.8133,64.2587,66.3348,66.9674,68.9661,AAA,AAA,AAA,AAA,AAA,3.4096,4.3572,4.6379,5.0962,4.5519,0.0246,0.2332,0.4743,0.7078,0.9414
112196.SZ,13苏宁债,-0.0861,-0.0799,-0.1341,-0.1028,-0.0386,-0.0673,46.2763,46.1513,45.7874,46.8277,48.2705,52.0735,AAA,AAA,AAA,AAA,AAA,4.0792,4.9214,5.1119,5.4757,4.8108,1.0631,1.2552,1.49,1.7211,1.868
112199.SZ,14铁岭债,-0.0358,-0.0488,0.4376,0.5178,0.0264,0.0157,53.619,54.4365,49.4709,47.7846,47.0699,47.2323,AA,AA,AA,AA,AA,8.4309,9.41,9.0481,9.5551,8.8631,0.4558,0.6435,0.8614,1.006,1.2419
112201.SZ,14机电01,-0.0277,-0.0409,-0.0264,0.2049,-0.0507,-0.0489,55.8901,56.3751,56.9233,52.4978,51.6153,58.6581,AAA,AAA,AAA,AAA,AAA,3.1985,4.1532,4.5146,5.032,4.4114,0.5173,0.7151,0.9443,1.1188,1.3645
112203.SZ,14北农债,-0.1216,-0.0811,-0.0101,0.1055,-0.1134,-0.0821,35.7121,35.5625,38.0223,38.8962,37.4743,42.3444,AA+,AA+,AA+,AA+,AA+,4.3514,5.3664,5.4396,5.9501,5.3273,0.5509,0.7444,0.9062,1.1368,1.3806
112204.SZ,14好想债,0.8805,1.0391,0.6201,0.158,0.377,0.5061,29.1308,24.7724,32.8244,36.4647,34.2122,29.9207,AA,AA,AA,AA,AA,6.2196,6.4073,6.2886,6.6818,6.1159,0.586,0.7783,0.9304,1.1604,1.4019
112208.SZ,14华邦01,0.036,-0.0148,0.0012,0.0592,-0.0045,0.0283,56.7505,57.0271,57.7748,54.2914,54.3769,52.3634,AA+,AA+,AA+,AA+,AA+,4.5938,5.5568,5.5696,6.0224,5.3825,0.7205,0.9079,1.0813,1.3116,1.5565
112211.SZ,14搜特01,-0.0715,-0.309,-0.3504,-0.2195,-0.0769,-0.0767,29.9598,33.8713,39.4778,42.2052,44.2203,45.7082,AA,AA,AA,AA,AA,5.3023,6.2594,6.2601,6.6969,6.0526,0.7649,0.8791,1.1137,1.3425,1.5862
112213.SZ,14中超债,-0.0201,-0.06,-0.0546,0.0124,0.021,0.0324,65.1508,66.8715,68.7998,68.7385,68.9381,72.2344,AA,AA,AA,AA,AA,6.2715,6.473,7.3721,7.8079,7.1628,0.7643,0.8868,1.1111,1.3376,1.5787
112214.SZ,14杰赛债,-0.1448,-0.2592,-0.1796,0.0511,-0.1712,-0.2475,63.9765,64.2812,65.7895,65.4542,65.1833,64.8385,AA,AA,AA,AA,AA,5.3722,6.313,6.3134,6.7424,6.0942,0.7947,0.9161,1.1506,1.3793,1.6231
112215.SZ,14万马01,-0.328,-0.4365,-0.447,-0.3705,-0.1015,0.0806,38.6133,39.6128,40.7144,43.3951,43.2851,48.608,AA,AA,AA,AA,AA,6.69,7.6293,7.6286,8.0511,7.4008,0.8086,0.925,1.1567,1.3827,1.6235
112216.SZ,14欣旺01,0.0025,-0.0698,-0.0418,-0.0179,0.0231,0.046,68.3109,72.1891,73.541,76.3765,61.8819,65.7343,AA,AA,AA,AA,AA,7.5044,7.7006,7.4483,7.765,7.1776,0.8178,0.9322,1.1666,1.3943,1.6349
112217.SZ,14东江01,0.0323,0.0324,0.1691,0.2118,0.0174,0.0918,55.2677,52.2689,52.5033,53.2275,52.0972,53.1917,AA+,AA+,AA,AA,AA,4.8437,5.7553,5.7534,6.1703,5.5172,0.8435,0.9711,1.2069,1.4368,1.6823
112219.SZ,14渝发债,0.114,0.2915,0.3612,0.4394,0.0107,0.1047,48.9464,48.4515,47.8536,45.1933,44.7385,45.6394,AAA,AAA,AAA,AAA,AAA,4.3974,5.2904,5.2874,5.6972,5.0414,0.8746,1.0059,1.2427,1.4735,1.7204
112220.SZ,14福星01,-0.0127,0.0084,-0.1159,0.0073,-0.0774,-0.1076,72.204,73.7016,75.1506,75.7274,75.0796,75.826,AA,AA,AA,AA,AA,7.6307,7.7933,7.5254,7.8288,7.2354,0.884,0.9953,1.2299,1.4574,1.6984
112221.SZ,14万里债,0.1186,0.0719,0.1591,0.1114,0.0073,0.1024,37.2123,35.1732,33.3237,32.3177,31.0755,35.1992,AA,AA,AA,AA,AA,7.8119,7.9777,7.7097,8.0133,7.4196,0.8826,1.0066,1.2407,1.4679,1.7084
112223.SZ,14江泥01,-0.0369,0.0366,0.2064,0.5132,0.0877,0.2612,47.9123,48.3014,49.5489,44.6705,42.8151,40.0251,AA,AA,AA,AA,AA,5.2772,6.1153,6.1131,6.5041,5.8427,0.9449,1.0734,1.3084,1.5375,1.783
112224.SZ,14兴蓉01,0.0601,0.1601,0.2576,0.3766,0.0609,0.1721,45.3901,45.0838,44.1202,45.6978,44.0696,44.1176,AAA,AAA,AAA,AAA,AAA,4.7538,5.6494,5.7895,6.1775,5.5505,0.9079,1.0995,1.3336,1.5634,1.8092
112225.SZ,14恒运01,0.0523,0.0816,0.1058,0.1337,0.0137,0.047,51.9349,53.9962,52.7885,54.1766,56.6086,58.4052,AA,AA,AA,AA,AA,4.7856,5.6164,5.6144,6.0022,5.3395,0.9105,1.1027,1.3388,1.5689,1.8157
112226.SZ,14科陆01,-0.0184,-0.0133,-0.0108,0.0275,-0.0016,-0.003,67.5865,68.01,67.4533,67.882,68.3047,69.6462,AA,AA,AA,AA,AA,5.5297,6.3608,6.3591,6.7475,6.0853,0.8916,1.0825,1.317,1.5455,1.7905
112228.SZ,14怡亚债,-0.0765,-0.0692,-0.0668,0.0012,0.0227,0.0615,81.5125,81.2054,81.8567,81.6934,81.4574,79.7212,AA,AA,AA,AA,AA,11.2765,11.3562,7.8072,8.0994,7.4996,0.8684,1.0572,1.3252,1.5521,1.793
112229.SZ,14白药01,-0.1286,0.1374,0.1732,0.1536,0.0427,0.2533,34.4511,33.1915,34.0205,34.5081,33.7428,33.126,AAA,AAA,AAA,AAA,AAA,4.442,4.7264,4.7975,4.9561,4.5979,1.0036,1.1973,1.4331,1.6658,1.8268
112230.SZ,14司尔01,-0.2901,-0.3963,-0.2004,0.0846,-0.1104,-0.1578,32.0165,27.4439,27.9993,24.6962,31.205,32.3031,AA,AA,AA,AA,AA,5.944,6.7223,6.7243,7.0967,6.2898,0.9823,1.1724,1.406,1.6337,0.0602
112231.SZ,14金贵债,0.0845,0.0337,0.1204,0.1138,0.0196,0.0692,69.5236,56.6094,59.3615,60.4593,57.7975,62.148,AA,AA,AA,AA,AA,9.0341,8.4641,6.9455,7.2321,6.103,0.9751,1.175,1.4257,1.6542,1.7929
112233.SZ,14漳发债,0.0015,0.0736,0.1769,0.3382,-0.0021,-0.0161,56.7117,57.2323,56.45,55.4079,53.6692,53.2321,AA+,AA+,AA+,AA+,AA+,7.3123,7.5095,7.0421,7.3203,6.6049,1.076,1.2701,1.5089,1.7371,0.1793
112235.SZ,15福星01,-0.0127,0.0084,-0.1159,0.0073,-0.0774,-0.1076,72.204,73.7016,75.1506,75.7274,75.0796,75.826,AA,AA,AA,AA,AA,7.5345,7.589,7.2843,7.3601,6.9131,1.1861,1.3815,1.618,0.0533,0.2938
112240.SZ,15华联债,-0.0875,0.031,0.09,0.039,-0.0371,0.0548,83.9901,83.4527,84.2604,84.0289,83.8061,83.9141,AA+,AA+,AA+,AA+,AA+,9.9863,10.1623,9.3231,8.4869,8.1716,1.3018,1.4888,1.6124,1.8694,2.1112
112241.SZ,15广田债,-0.0415,0.0176,0.0216,0.1409,-0.0484,0.014,57.6876,58.979,56.5026,56.6398,57.5035,59.7401,AA,AA,AA,AA,AA,6.9169,6.9535,5.9738,5.8793,5.8502,1.4005,1.5973,0.0236,0.2606,0.4967
112242.SZ,15岭南债,-0.1244,-0.1994,-0.1867,-0.0824,-0.0775,-0.0238,46.6966,54.2803,58.1809,65.8786,66.3258,69.9168,AAA,AAA,AAA,AAA,AAA,6.8175,6.8694,6.5559,6.3366,6.1056,1.5768,1.7734,0.1993,0.4377,0.6774
112243.SZ,15东旭债,-0.0882,-0.1362,0.0289,0.0612,-0.0517,0.004,50.4684,50.5184,50.2416,52.6364,52.7846,52.0379,AA+,AA+,AA+,AA+,AA+,11.5224,7.7972,6.0911,5.9553,5.9247,1.4416,1.689,0.125,0.3628,0.5987
112245.SZ,15顺鑫01,0.0831,0.0768,0.0798,0.3023,0.1206,0.1999,61.8511,61.6479,60.495,61.2907,58.2874,59.0641,AA+,AA+,AA,AA,AA,5.3851,6.1805,4.5516,4.6131,4.6448,1.5202,1.7071,0.1118,0.349,0.5866
112247.SZ,15华东债,-0.1461,0.0466,0.0202,0.2718,-0.0822,0.1625,46.3217,46.4094,46.1129,44.9002,45.2405,44.7803,AA+,AA+,AA+,AA+,AA+,4.2794,4.9285,5.1716,5.5005,4.8508,1.5624,1.7535,1.9023,2.1321,2.3843
112251.SZ,15恒运债,0.0523,0.0816,0.1058,0.1337,0.0137,0.047,51.9349,53.9962,52.7885,54.1766,56.6086,58.4052,AA,AA,AA,AA,AA,4.071,4.209,4.3656,4.5424,4.5157,1.7542,0.0733,0.3093,0.5443,0.7835
112252.SZ,15鄂能01,-0.0191,0.136,0.2575,0.2557,0.0498,0.1115,35.4145,36.2698,35.1891,39.1796,38.6157,39.2316,AAA,AAA,AAA,AAA,AAA,4.1565,4.2479,4.3858,4.5549,4.5465,1.6914,0.0158,0.2523,0.4874,0.7261
112253.SZ,15荣盛01,-0.0085,-0.0705,-0.0688,0.0185,-0.0266,0.036,83.5628,85.2628,85.0921,84.6766,84.7757,84.9521,AA+,AA+,AA+,AA+,AA+,6.6516,6.7068,5.8274,5.8943,5.6473,1.6026,1.7994,0.2193,0.4535,0.6946
112255.SZ,15濮耐01,-0.0008,0.0266,0.0097,0.0661,0.0253,0.1077,49.2023,49.5089,50.0643,48.3155,49.7266,49.23,AA,AA,AA,AA,AA,5.4829,5.9429,6.3142,6.6461,6.7122,1.2537,0.0561,0.2859,0.5148,0.7472
112256.SZ,15天保01,-0.8369,-1.1546,-0.5172,-0.4117,-0.0521,-0.6949,43.1533,46.2979,52.5882,50.2856,46.539,45.1896,AA+,AA+,AA+,AA+,AA+,5.8679,4.4874,4.5698,4.6786,4.6111,1.6892,0.0552,0.2922,0.5283,0.7681
112257.SZ,15荣盛02,-0.0085,-0.0705,-0.0688,0.0185,-0.0266,0.036,83.5628,85.2628,85.0921,84.6766,84.7757,84.9521,AA+,AA+,AA+,AA+,AA+,6.2112,6.3999,6.1488,6.4678,5.3015,0.824,0.9658,1.2031,1.4335,1.6866
112258.SZ,15荣盛03,-0.0085,-0.0705,-0.0688,0.0185,-0.0266,0.036,83.5628,85.2628,85.0921,84.6766,84.7757,84.9521,AA+,AA+,AA+,AA+,AA+,6.7433,5.3364,5.5411,5.7583,5.4689,1.6883,0.0722,0.3049,0.5364,0.7791
112259.SZ,15甘电债,0.1123,0.1957,0.5134,0.6347,0.2819,0.3701,73.1379,71.7721,70.3095,69.5013,69.4652,68.6319,AAA,AAA,AAA,AAA,AAA,4.4007,5.1222,5.1834,5.5762,4.9787,1.8636,1.9744,2.2102,2.4374,2.6898
112260.SZ,15阳房01,0.0204,0.0657,0.0541,0.0753,0.0219,0.0236,87.6455,86.5505,86.302,85.6649,86.8037,85.7262,AA+,AA+,AA+,AA+,AA+,6.9439,5.2207,5.4234,5.6416,5.6565,1.6886,0.0774,0.3104,0.5421,0.7778
112261.SZ,15星辉债,0.0584,0.0693,0.108,0.1847,0.0926,0.1107,56.6997,57.9887,58.5346,56.2711,55.7686,55.6163,AA,AA,AA,AA,AA,6.2765,6.3728,6.2895,6.4417,6.1684,0.1834,0.38,0.6162,0.8471,1.4415
112262.SZ,15荣安债,0.0102,0.094,-0.0932,-0.042,0.0599,0.068,57.4277,61.298,64.2545,67.8841,73.9194,79.1317,AA,AA,AA,AA,AA,7.717,6.1729,6.0513,6.2486,5.8418,1.6889,0.9623,1.2008,1.4278,1.6781
112263.SZ,15中房债,0.0837,-0.0824,-0.1845,-0.187,-0.0049,0.102,88.6887,90.2474,91.052,88.5647,89.0775,88.9283,AAA,AAA,AAA,AAA,AAA,4.4002,5.0448,5.3129,5.6914,4.7259,1.7876,1.9006,2.1321,2.3597,2.6211
112265.SZ,15中环债,0.02,0.047,0.077,0.1028,0.025,0.0511,52.865,56.8616,57.9389,58.0773,59.0036,55.6417,AA+,AA+,AA+,AA,AA,6.1932,5.2176,5.2343,5.3204,5.1811,1.744,0.1151,0.3518,0.5867,0.8269
112267.SZ,15阳房02,0.0204,0.0657,0.0541,0.0753,0.0219,0.0236,87.6455,86.5505,86.302,85.6649,86.8037,85.7262,AA+,AA+,AA+,AA+,AA+,7.4008,5.4397,5.5805,5.7658,5.7263,1.7121,0.1111,0.3447,0.5768,0.8135
112268.SZ,15东华01,-0.0349,-0.0066,0.0615,0.2465,-0.0316,0.0333,69.6466,69.8291,67.0266,65.8126,67.1127,66.8662,AA+,AA+,AA+,AA,AA,6.991,5.8336,5.8237,5.8897,5.6812,1.7211,0.1121,0.3478,0.582,1.6915
112269.SZ,15涪陵01,0.0318,0.138,0.1762,0.1745,0.036,0.087,37.8057,38.6414,39.9181,40.0984,41.9574,42.8872,AA+,AA+,AA+,AA+,AA+,5.9743,4.1328,4.2108,4.4049,4.3363,1.746,0.1124,0.3502,0.585,0.8256
112270.SZ,15华邦债,0.036,-0.0148,0.0012,0.0592,-0.0045,0.0283,56.7505,57.0271,57.7748,54.2914,54.3769,52.3634,AA+,AA+,AA+,AA+,AA+,5.7018,4.7532,4.8791,5.0529,4.9862,1.758,0.1171,0.3526,0.5864,0.8253
112271.SZ,15中粮01,-0.1286,-0.1482,-0.0918,0.0355,-0.044,-0.0478,82.7838,82.9481,83.0127,84.4959,85.2054,85.6229,AA+,AA+,AA+,AA+,AA+,4.3194,4.9644,5.2337,5.5657,4.9108,1.8007,1.9109,2.1425,2.3713,2.6249
112272.SZ,15金科01,-0.1238,-0.1211,-0.2221,-0.1007,-0.0114,0.034,80.9529,83.9387,84.8451,85.7869,86.215,84.793,AA+,AA+,AA+,AA+,AA+,6.3719,6.3071,6.2519,6.295,6.1058,1.7773,0.1535,0.3892,0.6229,0.862
112273.SZ,15金街01,0.0307,0.0738,-0.0842,-0.2279,-0.2569,-0.2589,73.1765,73.316,72.7678,73.0814,74.475,75.3521,AAA,AAA,AAA,AAA,AAA,4.8131,3.8614,3.9443,4.0833,4.031,2.6666,0.134,0.3716,0.6071,0.8484
112274.SZ,15金街02,0.0307,0.0738,-0.0842,-0.2279,-0.2569,-0.2589,73.1765,73.316,72.7678,73.0814,74.475,75.3521,AAA,AAA,AAA,AAA,AAA,4.2152,4.4067,4.5271,4.2435,3.9802,1.8114,1.9264,2.1576,2.4147,2.6717
112275.SZ,15搜特债,-0.0715,-0.309,-0.3504,-0.2195,-0.0769,-0.0767,29.9598,33.8713,39.4778,42.2052,44.2203,45.7082,AA,AA,AA,AA,AA,6.842,5.9815,6.0891,6.2573,6.1645,1.7547,0.1417,0.3748,0.6061,0.8429
112277.SZ,15金街03,0.0307,0.0738,-0.0842,-0.2279,-0.2569,-0.2589,73.1765,73.316,72.7678,73.0814,74.475,75.3521,AAA,AAA,AAA,AAA,AAA,4.0961,4.3996,4.5764,4.8102,4.4262,1.8452,1.9601,2.1919,2.4205,2.6754
112279.SZ,15渤租01,0.0541,0.1375,0.213,0.3168,0.0906,0.178,86.6176,87.5941,88.3427,88.2109,88.0236,87.3269,AAA,AAA,AAA,AAA,AAA,4.62,5.6615,6.2122,5.2928,5.2599,0,0.1829,0.4076,0.6626,0.9002
112280.SZ,15东华02,-0.0349,-0.0066,0.0615,0.2465,-0.0316,0.0333,69.6466,69.8291,67.0266,65.8126,67.1127,66.8662,AA+,AA+,AA+,AA,AA,5.5974,5.6771,5.5854,5.7447,5.4125,0.8779,1.0734,1.3128,0.6742,1.7914
112281.SZ,15中洲债,0.0138,-0.114,-0.2997,-0.213,-0.0104,-0.003,81.9605,82.9414,84.9999,84.2186,84.0166,82.9346,AA,AA,AA,AA,AA,4.0295,5.1695,5.5216,5.9852,5.5028,0.0192,0.2274,0.4671,0.6983,0.9281
112284.SZ,15渤租02,0.0541,0.1375,0.213,0.3168,0.0906,0.178,86.6176,87.5941,88.3427,88.2109,88.0236,87.3269,AAA,AAA,AAA,AAA,AAA,4.6876,5.6644,6.209,5.2529,5.2281,0.0154,0.199,0.4238,0.6798,0.9172
112285.SZ,15万科01,-0.0152,0.0323,0.0225,0.0972,-0.0315,-0.0044,81.7327,82.6575,83.5302,83.9813,84.0445,84.7018,AAA,AAA,AAA,AAA,AAA,4.1774,4.8226,4.6199,4.9862,4.3284,1.8488,2.0378,2.2803,2.5093,2.765
