,TRADE_CODE,SEC_NAME,AMOUNT,MATURITYDATE,CARRYDATE,COUPONRATE,COUPONTXT,CLOSE,LATESTPAR,INTERESTFREQUENCY,CASHFLOW_TTM,DEBTTOASSETS,WGSD_LIABS_CURR,ISSUERSHORTENED,ISSUEAMOUNT,COUPONDATETXT,DIRTYPRICE,CLEANPRICE,WGSD_OPER_CF,YIELD_CNBD,DIRTY_CNBD,NET_CNBD,MODIDURA_SHC,ACCRUEDINTEREST_SHC,VOBP_SHC,CNVXTY_SHC,LASTDATE_SHC
146907.SH,146907,中飞租07,AAA,2024/11/12 0:00,2017/12/27 0:00,3.9,预期收益率3.9%,100,100,,,,,中飞租赁,22500000,到期一次还本付息,102.7888,100,,,,,,,,,1899-12-30 00:00:00
146906.SH,146906,中飞租06,AAA,2023/11/10 0:00,2017/12/27 0:00,3.6,预期收益率3.6%,100,100,,,,,中飞租赁,27450000,到期一次还本付息,102.5742,100,,,,,,,,,1899-12-30 00:00:00
146905.SH,146905,中飞租05,AAA,2022/11/10 0:00,2017/12/27 0:00,3.58,预期收益率3.58%,100,100,,,,,中飞租赁,24110000,到期一次还本付息,102.5599,100,,,,,,,,,1899-12-30 00:00:00
146904.SH,146904,中飞租04,AAA,2021/11/10 0:00,2017/12/27 0:00,3.48,预期收益率3.48%,100,100,,,,,中飞租赁,23740000,到期一次还本付息,102.4884,100,,,,,,,,,1899-12-30 00:00:00
146903.SH,146903,中飞租03,AAA,2020/11/10 0:00,2017/12/27 0:00,3.28,预期收益率3.28%,100,100,,,,,中飞租赁,20430000,到期一次还本付息,102.3454,100,,,,,,,,,1899-12-30 00:00:00
146902.SH,146902,中飞租02,AAA,2019/11/12 0:00,2017/12/27 0:00,3,预期收益率3%,100,100,,,,,中飞租赁,18600000,到期一次还本付息,102.1452,100,,,,,,,,,1899-12-30 00:00:00
116327.SZ,116327,中安1优4,AAA,2018/11/25 0:00,2016/7/29 0:00,4.47,预期收益率4.47%,,0.0042,4,,,,中安租赁,116000000,"每年0225,0525,0825,1125付息,节假日顺延",,,,,,,,,,,1899-12-30 00:00:00
116326.SZ,116326,中安1优3,AAA,2018/8/25 0:00,2016/7/29 0:00,3.8,预期收益率3.8%,,100,4,,,,中安租赁,40000000,"每年0225,0525,0825,1125付息,节假日顺延",,,,,,,,,,,1899-12-30 00:00:00
146717.SH,146717,浙商1A3,AAA,2019/4/10 0:00,2017/11/6 0:00,5.4,预期收益率5.4%,100,100,4,6100662000,94.1638,,浙商银行,405000000,"每年0110,0410,0710,1015付息,节假日顺延",100.9764,100,-92428749000,,,,,,,,1899-12-30 00:00:00
146138.SH,146138,郑银2A3,AAA,2020/6/9 0:00,2017/6/9 0:00,6.2,预期收益率6.2%,100,100,2,-2783124000,92.3274,,郑州银行,987400000,"每年11月29日和5月29日付息,节假日顺延",101.8345,100,-1981394000,,,,,,,,1899-12-30 00:00:00
146137.SH,146137,郑银2A2,AAA,2019/5/29 0:00,2017/6/9 0:00,5.8,预期收益率5.8%,100,100,2,-2783124000,92.3274,,郑州银行,170000000,"每年11月29日和5月29日付息,节假日顺延",101.7162,100,-1981394000,,,,,,,,1899-12-30 00:00:00
142284.SH,142284,郑银1A3,AAA,2021/9/26 0:00,2016/9/21 0:00,4.2,预期收益率4.2%,100,100,2,-2783124000,92.3274,,郑州银行,370000000,"每年3月26日和9月26日付息,节假日顺延",101.9792,100,-1981394000,,,,,,,,1899-12-30 00:00:00
149484.SH,149484,正荣优,AAA,2021/4/10 0:00,2018/4/10 0:00,7.3,预期收益率7.3%,100,100,4,,,,正荣地产,2300000000,"每年0110,0410,0710,1010付息,节假日顺延",101.32,100,,,,,,,,,1899-12-30 00:00:00
116146.SZ,116146,招商创业,AAA,2018/12/29 0:00,2015/12/29 0:00,4.63,预期收益率4.63%,11.6627,28.6667,4,16657190964,72.1056,1.6731E+11,招商蛇口,300000000,"每年0327,0627,0927,1227付息,节假日顺延",11.95,11.6627,-4708686126,,,,,,,,1899-12-30 00:00:00
116905.SZ,116905,招碧01A,AAA,2019/4/9 0:00,2018/4/11 0:00,6.3,预期收益率6.3%,98.4974,100,,,,,盛业保理,605000000,到期一次还本付息,101.19,98.4974,,,,,,,,,1899-12-30 00:00:00
142887.SH,142887,枣优A9,AAA,2021/9/21 0:00,2017/3/21 0:00,6.5,预期收益率6.50%,100,100,2,,,,枣庄矿业,65000000,"每年3月21日和9月21日付息,节假日顺延",103.1521,100,,,,,,,,,1899-12-30 00:00:00
142886.SH,142886,枣优A8,AAA,2021/3/21 0:00,2017/3/21 0:00,6.3,预期收益率6.30%,100,100,2,,,,枣庄矿业,65000000,"每年3月21日和9月21日付息,节假日顺延",103.0551,100,,,,,,,,,1899-12-30 00:00:00
142885.SH,142885,枣优A7,AAA,2020/9/21 0:00,2017/3/21 0:00,5.85,预期收益率5.85%,100,100,2,,,,枣庄矿业,65000000,"每年3月21日和9月21日付息,节假日顺延",102.8368,100,,,,,,,,,1899-12-30 00:00:00
142884.SH,142884,枣优A6,AAA,2020/3/21 0:00,2017/3/21 0:00,5.8,预期收益率5.80%,100,100,2,,,,枣庄矿业,65000000,"每年3月21日和9月21日付息,节假日顺延",102.8126,100,,,,,,,,,1899-12-30 00:00:00
142883.SH,142883,枣优A5,AAA,2019/9/21 0:00,2017/3/21 0:00,5.95,预期收益率5.95%,100,100,2,,,,枣庄矿业,60000000,"每年3月21日和9月21日付息,节假日顺延",102.8853,100,,,,,,,,,1899-12-30 00:00:00
142882.SH,142882,枣优A4,AAA,2019/3/21 0:00,2017/3/21 0:00,5.9,预期收益率5.90%,100,100,2,,,,枣庄矿业,60000000,"每年3月21日和9月21日付息,节假日顺延",102.8611,100,,,,,,,,,1899-12-30 00:00:00
142881.SH,142881,枣优A3,AAA,2018/9/21 0:00,2017/3/21 0:00,5.6,预期收益率5.60%,100,100,2,,,,枣庄矿业,55000000,"每年3月21日和9月21日付息,节假日顺延",102.7156,100,,,,,,,,,1899-12-30 00:00:00
142888.SH,142888,枣优A10,AAA,2022/3/21 0:00,2017/3/21 0:00,6.3,预期收益率6.30%,100,100,2,,,,枣庄矿业,65000000,"每年3月21日和9月21日付息,节假日顺延",103.0551,100,,,,,,,,,1899-12-30 00:00:00
142912.SH,142912,YX优B,AAA,2019/3/27 0:00,2017/3/29 0:00,6.78,预期收益率6.78%,100,100,4,779097220.6,73.6121,,易鑫融资租赁,117000000,"每年0327,0627,0927,1227付息,节假日顺延",101.4675,100,,,,,,,,,1899-12-30 00:00:00
131123.SH,131123,渝西永6,AAA,2020/12/30 0:00,2015/10/28 0:00,5,预期收益率5.0%,100,100,1,-1755063361,52.7775,,西永微电园,140000000,"每年12月30日付息,节假日顺延",103.5342,100,,,,,,,,,1899-12-30 00:00:00
131122.SH,131122,渝西永5,AAA,2019/12/30 0:00,2015/10/28 0:00,4.9,预期收益率4.9%,100,100,1,-1755063361,52.7775,,西永微电园,245000000,"每年12月30日付息,节假日顺延",103.4636,100,,,,,,,,,1899-12-30 00:00:00
131121.SH,131121,渝西永4,AAA,2018/12/28 0:00,2015/10/28 0:00,4.75,预期收益率4.75%,100,100,1,-1755063361,52.7775,,西永微电园,300000000,"每年12月30日付息,节假日顺延",103.3575,100,,,,,,,,,1899-12-30 00:00:00
119411.SZ,119411,云享优先,AAA,2020/6/23 0:00,2016/6/24 0:00,4,4%,93.91,100,1,7338166000,46.8277,64263657000,苏宁易购,1200000000,"定期付息,到期一次还本",,93.91,-6605293000,,,,,,,,1899-12-30 00:00:00
116864.SZ,116864,云纺优C,AAA,2029/10/26 0:00,2018/3/15 0:00,6.4,预期收益率6.4%,96.7877,100,2,-13434397803,82.0955,,国信控股,50000000,"每年4月26日和10月26日付息,节假日顺延",99.26,96.7877,,,,,,,,,1899-12-30 00:00:00
116863.SZ,116863,云纺优B,AAA,2029/10/26 0:00,2018/3/15 0:00,6.4,预期收益率6.4%,95.6564,98.84,2,-13434397803,82.0955,,国信控股,1388000000,"每年4月26日和10月26日付息,节假日顺延",98.1,95.6564,,,,,,,,,1899-12-30 00:00:00
116862.SZ,116862,云纺优A3,AAA,2029/10/26 0:00,2018/3/15 0:00,6,预期收益率6%,96.9922,100,2,-13434397803,82.0955,,国信控股,700000000,"每年4月26日和10月26日付息,节假日顺延",99.31,96.9922,,,,,,,,,1899-12-30 00:00:00
116861.SZ,116861,云纺优A2,AAA,2019/10/26 0:00,2018/3/15 0:00,5.9,预期收益率5.9%,97.0408,100,2,-13434397803,82.0955,,国信控股,48000000,"每年4月26日和10月26日付息,节假日顺延",99.32,97.0408,,,,,,,,,1899-12-30 00:00:00
116860.SZ,116860,云纺优A1,AAA,2018/10/26 0:00,2018/3/15 0:00,5.8,预期收益率5.8%,50.4289,52.27,2,-13434397803,82.0955,,国信控股,44000000,"每年4月26日和10月26日付息,节假日顺延",51.6,50.4289,,,,,,,,,1899-12-30 00:00:00
136740.SH,136740,渝钢暂停,AAA,2021/9/30 0:00,2016/9/30 0:00,7.8,7.80%,100,100,1,255320980.6,55.2879,,重钢矿业,600000000,"每年9月30日付息,节假日顺延",107.4581,100,,,,,,,,,2018/9/13 0:00
149726.SH,149726,越物优09,AAA,2027/3/20 0:00,2018/5/4 0:00,5.5,预期收益率5.5%,100,100,4,-1265664115,64.7672,,广州城建,157000000,"每年0320,0620,0920,1220付息,节假日顺延",101.2959,100,,,,,,,,,1899-12-30 00:00:00
149725.SH,149725,越物优08,AAA,2026/3/20 0:00,2018/5/4 0:00,5.5,预期收益率5.5%,100,100,4,-1265664115,64.7672,,广州城建,148000000,"每年0320,0620,0920,1220付息,节假日顺延",101.2959,100,,,,,,,,,1899-12-30 00:00:00
149724.SH,149724,越物优07,AAA,2025/3/20 0:00,2018/5/4 0:00,5.5,预期收益率5.5%,100,100,4,-1265664115,64.7672,,广州城建,138000000,"每年0320,0620,0920,1220付息,节假日顺延",101.2959,100,,,,,,,,,1899-12-30 00:00:00
149723.SH,149723,越物优06,AAA,2024/3/20 0:00,2018/5/4 0:00,5.5,预期收益率5.5%,100,100,4,-1265664115,64.7672,,广州城建,130000000,"每年0320,0620,0920,1220付息,节假日顺延",101.2959,100,,,,,,,,,1899-12-30 00:00:00
149722.SH,149722,越物优05,AAA,2023/3/20 0:00,2018/5/4 0:00,5.5,预期收益率5.5%,100,100,4,-1265664115,64.7672,,广州城建,122000000,"每年0320,0620,0920,1220付息,节假日顺延",101.2959,100,,,,,,,,,1899-12-30 00:00:00
149721.SH,149721,越物优04,AAA,2022/3/20 0:00,2018/5/4 0:00,5.5,预期收益率5.5%,100,100,4,-1265664115,64.7672,,广州城建,114000000,"每年0320,0620,0920,1220付息,节假日顺延",101.2959,100,,,,,,,,,1899-12-30 00:00:00
149720.SH,149720,越物优03,AAA,2021/3/20 0:00,2018/5/4 0:00,5.38,预期收益率5.38%,100,100,4,-1265664115,64.7672,,广州城建,107000000,"每年0320,0620,0920,1220付息,节假日顺延",101.2676,100,,,,,,,,,1899-12-30 00:00:00
149719.SH,149719,越物优02,AAA,2020/3/20 0:00,2018/5/4 0:00,5.38,预期收益率5.38%,100,100,4,-1265664115,64.7672,,广州城建,101000000,"每年0320,0620,0920,1220付息,节假日顺延",101.2676,100,,,,,,,,,1899-12-30 00:00:00
142873.SH,142873,粤科2B,AAA,2019/6/21 0:00,2017/3/16 0:00,6,预期收益率6%,100,100,4,184220177.4,76.3663,,粤科租赁,80000000,"每年0321,0621,0921,1221付息,节假日顺延",101.3973,100,,,,,,,,,1899-12-30 00:00:00
149535.SH,149535,远海租A3,AAA,2021/7/15 0:00,2018/5/16 0:00,6.7,预期收益率6.7%,100,100,4,1261426897,83.177,,中海租赁,160000000,"每年0115,0415,0715,1015付息,节假日顺延",101.1197,100,,,,,,,,,1899-12-30 00:00:00
149534.SH,149534,远海租A2,AAA,2020/10/15 0:00,2018/5/16 0:00,6.05,预期收益率6.05%,100,100,4,1261426897,83.177,,中海租赁,985000000,"每年0115,0415,0715,1015付息,节假日顺延",101.0111,100,,,,,,,,,1899-12-30 00:00:00
131139.SH,131139,远东五B,AAA,2019/11/26 0:00,2015/11/27 0:00,6.8,预期收益率6.8%,100,100,4,2804422663,84.082,,远东租赁,365000000,"每年0226,0526,0826,1126付息,节假日顺延",100.354,100,,,,,,,,,1899-12-30 00:00:00
116220.SZ,116220,远东委A2,AAA,2019/5/23 0:00,2016/5/6 0:00,4.3,预期收益率4.30%,9.8026,14.4249,4,2804422663,84.082,,远东租赁,404000000,"每年0223,0523,0823,1123付息,节假日顺延",9.84,9.8026,,,,,,,,,1899-12-30 00:00:00
123898.SH,123898,远东四B,AAA,2019/11/26 0:00,2015/9/15 0:00,6.3,预期收益率6.3%,100,100,4,2804422663,84.082,,远东租赁,187000000,"每年0226,0526,0826,1126付息,节假日顺延",100.3279,100,,,,,,,,,1899-12-30 00:00:00
116958.SZ,116958,宜信1A,AAA,2019/2/25 0:00,2018/6/1 0:00,7,预期收益率7%,5.5,13.8867,12,,,,宜信租赁,135000000,"按月付息,节假日顺延",,5.5,,,,,,,,,1899-12-30 00:00:00
116964.SZ,116964,蚁信01A,AAA,2019/6/19 0:00,2018/6/7 0:00,5.15,预期收益率5.15%,98.6032,100,,1131437848,,,蚂蚁小贷,890000000,到期一次还本付息,100,98.6032,,,,,,,,,1899-12-30 00:00:00
149332.SH,149332,沂水05,AAA,2022/9/30 0:00,2018/3/28 0:00,6.75,预期收益率6.75%,100,100,1,,,,沂水热电,178000000,"每年3月30日付息,节假日顺延",103.1438,100,,,,,,,,,1899-12-30 00:00:00
149331.SH,149331,沂水04,AAA,2021/3/30 0:00,2018/3/28 0:00,6.6,预期收益率6.6%,100,100,1,,,,沂水热电,135000000,"每年3月30日付息,节假日顺延",103.074,100,,,,,,,,,1899-12-30 00:00:00
149330.SH,149330,沂水03,AAA,2020/3/30 0:00,2018/3/28 0:00,6.5,预期收益率6.5%,100,100,1,,,,沂水热电,123000000,"每年3月30日付息,节假日顺延",103.0274,100,,,,,,,,,1899-12-30 00:00:00
149329.SH,149329,沂水02,AAA,2019/3/30 0:00,2018/3/28 0:00,6.4,预期收益率6.4%,100,100,,,,,沂水热电,160000000,到期一次还本付息,102.9808,100,,,,,,,,,1899-12-30 00:00:00
142785.SH,142785,英才05,AAA,2021/9/21 0:00,2017/3/10 0:00,6,预期收益率6.0%,100,100,1,,,,厦门英才,125000000,"每年9月21日付息,节假日顺延",105.8849,100,,,,,,,,,1899-12-30 00:00:00
142784.SH,142784,英才04,AAA,2020/9/21 0:00,2017/3/10 0:00,5.8,预期收益率5.8%,100,100,1,,,,厦门英才,115000000,"每年9月21日付息,节假日顺延",105.6888,100,,,,,,,,,1899-12-30 00:00:00
142783.SH,142783,英才03,AAA,2019/9/21 0:00,2017/3/10 0:00,5.6,预期收益率5.60%,100,100,1,,,,厦门英才,105000000,"每年9月21日付息,节假日顺延",105.4926,100,,,,,,,,,1899-12-30 00:00:00
142782.SH,142782,英才02,AAA,2018/9/21 0:00,2017/3/10 0:00,5.35,预期收益率5.35%,100,100,1,,,,厦门英才,95000000,"每年9月21日付息,节假日顺延",105.2474,100,,,,,,,,,1899-12-30 00:00:00
119426.SZ,119426,亿利2A,AAA,2035/7/22 0:00,2017/7/28 0:00,6.4,预期收益率6.4%,91.2532,98.51,1,-305445471.9,64.7519,,亿利资源,370000000,"每年7月22日付息,节假日顺延",92.2,91.2532,,,,,,,,,1899-12-30 00:00:00
119416.SZ,119416,亿利1A,AAA,2035/1/22 0:00,2017/1/17 0:00,5.2,预期收益率5.2%,88.229,95.91,1,,,,首誉光控,590000000,"每年1月22日付息,节假日顺延",91.44,88.229,,,,,,,,,1899-12-30 00:00:00
116878.SZ,116878,逸锟优3,AAA,2019/8/2 0:00,2018/3/23 0:00,7,预期收益率7%,97.1338,100,,2934309.04,75.3926,,逸锟保理,764000000,到期一次还本付息,100.49,97.1338,,,,,,,,,1899-12-30 00:00:00
116823.SZ,116823,逸锟优2,AAA,2019/7/12 0:00,2018/2/5 0:00,6.6,预期收益率6.6%,96.0038,100,,2934309.04,75.3926,,逸锟保理,523000000,到期一次还本付息,100,96.0038,,,,,,,,,1899-12-30 00:00:00
116760.SZ,116760,逸锟优1,AAA,2019/5/17 0:00,2017/11/29 0:00,6.3,预期收益率6.3%,95.0118,100,,2934309.04,75.3926,,逸锟保理,605000000,到期一次还本付息,100,95.0118,,,,,,,,,1899-12-30 00:00:00
116634.SZ,116634,逸锟1A1,AAA,2019/1/11 0:00,2017/7/20 0:00,6.2,预期收益率6.2%,99.4688,100,,2934309.04,75.3926,,逸锟保理,766000000,到期一次还本付息,106.62,99.4688,,,,,,,,,1899-12-30 00:00:00
149644.SH,149644,一局优A,AAA,2020/6/15 0:00,2018/6/25 0:00,5.8,预期收益率5.8%,,100,1,6105309752,82.5866,,中国建筑一局(集团),336000000,"非期末摊还期按年付息,期末摊还期按季还本付息",,,,,,,,,,,1899-12-30 00:00:00
116969.SZ,116969,一方碧40,AAA,2019/5/30 0:00,2018/6/8 0:00,6.1,预期收益率6.1%,97.3222,100,,100344132.7,,,前海一方,982000000,到期一次还本付息,98.96,97.3222,,,,,,,,,1899-12-30 00:00:00
116935.SZ,116935,一方碧39,AAA,2019/5/17 0:00,2018/5/24 0:00,6.1,预期收益率6.1%,98.1115,100,,100344132.7,,,前海一方,1009000000,到期一次还本付息,100,98.1115,,,,,,,,,1899-12-30 00:00:00
116933.SZ,116933,一方碧38,AAA,2019/5/10 0:00,2018/5/18 0:00,6.1,预期收益率6.1%,98.0112,100,,100344132.7,,,前海一方,838000000,到期一次还本付息,100,98.0112,,,,,,,,,1899-12-30 00:00:00
116930.SZ,116930,一方碧37,AAA,2019/5/9 0:00,2018/5/11 0:00,6.1,预期收益率6.1%,97.8942,100,,100344132.7,,,前海一方,921000000,到期一次还本付息,100,97.8942,,,,,,,,,1899-12-30 00:00:00
116921.SZ,116921,一方碧36,AAA,2019/4/19 0:00,2018/4/26 0:00,6.1,预期收益率6.1%,97.6436,100,,100344132.7,,,前海一方,750000000,到期一次还本付息,100,97.6436,,,,,,,,,1899-12-30 00:00:00
116912.SZ,116912,一方碧35,AAA,2019/4/4 0:00,2018/4/24 0:00,6.1,预期收益率6.1%,98.4601,100,,100344132.7,,,前海一方,873000000,到期一次还本付息,100.85,98.4601,,,,,,,,,1899-12-30 00:00:00
116901.SZ,116901,一方碧32,AAA,2019/4/4 0:00,2018/4/13 0:00,6.1,预期收益率6.1%,98.2063,100,,100344132.7,,,前海一方,674000000,到期一次还本付息,100.78,98.2063,,,,,,,,,1899-12-30 00:00:00
116829.SZ,116829,一方碧31,AAA,2019/2/1 0:00,2018/2/9 0:00,6.2,预期收益率6.2%,96.314,100,,100344132.7,,,前海一方,931000000,到期一次还本付息,100,96.314,,,,,,,,,1899-12-30 00:00:00
116817.SZ,116817,一方碧30,AAA,2019/1/25 0:00,2018/1/31 0:00,6.2,预期收益率6.2%,99.3711,100,,100344132.7,,,前海一方,964000000,到期一次还本付息,103.21,99.3711,,,,,,,,,1899-12-30 00:00:00
116813.SZ,116813,一方碧29,AAA,2019/1/18 0:00,2018/1/24 0:00,6.2,预期收益率6.2%,99.4022,100,,100344132.7,,,前海一方,818000000,到期一次还本付息,103.36,99.4022,,,,,,,,,1899-12-30 00:00:00
116810.SZ,116810,一方碧28,AAA,2019/1/17 0:00,2018/1/19 0:00,6.2,预期收益率6.2%,98.8773,100,,100344132.7,,,前海一方,1009000000,到期一次还本付息,102.92,98.8773,,,,,,,,,1899-12-30 00:00:00
116807.SZ,116807,一方碧27,AAA,2019/1/10 0:00,2018/1/16 0:00,6.2,预期收益率6.2%,98.8363,100,,100344132.7,,,前海一方,1029000000,到期一次还本付息,102.93,98.8363,,,,,,,,,1899-12-30 00:00:00
116806.SZ,116806,一方碧26,AAA,2019/1/10 0:00,2018/1/15 0:00,6.2,预期收益率6.2%,98.8493,100,,100344132.7,,,前海一方,886000000,到期一次还本付息,102.96,98.8493,,,,,,,,,1899-12-30 00:00:00
116780.SZ,116780,一方碧25,AAA,2018/12/14 0:00,2017/12/21 0:00,6.59,预期收益率6.59%,95.1794,100,,100344132.7,,,前海一方,745000000,到期一次还本付息,100,95.1794,,,,,,,,,1899-12-30 00:00:00
116775.SZ,116775,一方碧24,AAA,2018/12/13 0:00,2017/12/15 0:00,6.05,预期收益率6.05%,95.4749,100,,100344132.7,,,前海一方,992000000,到期一次还本付息,100,95.4749,,,,,,,,,1899-12-30 00:00:00
116770.SZ,116770,一方碧23,AAA,2018/12/6 0:00,2017/12/7 0:00,6,预期收益率6%,95.3808,100,,100344132.7,,,前海一方,867000000,到期一次还本付息,100,95.3808,,,,,,,,,1899-12-30 00:00:00
116769.SZ,116769,一方碧22,AAA,2018/12/6 0:00,2017/12/7 0:00,6,预期收益率6%,95.3808,100,,100344132.7,,,前海一方,907000000,到期一次还本付息,100,95.3808,,,,,,,,,1899-12-30 00:00:00
116765.SZ,116765,一方碧21,AAA,2018/11/16 0:00,2017/11/21 0:00,5.88,预期收益率5.88%,95.2155,100,,100344132.7,,,前海一方,880000000,到期一次还本付息,100,95.2155,,,,,,,,,1899-12-30 00:00:00
116764.SZ,116764,一方碧20,AAA,2018/11/16 0:00,2017/11/23 0:00,5.88,预期收益率5.88%,95.2477,100,,100344132.7,,,前海一方,1004000000,到期一次还本付息,100,95.2477,,,,,,,,,1899-12-30 00:00:00
116763.SZ,116763,一方碧19,AAA,2018/11/2 0:00,2017/11/14 0:00,5.86,预期收益率5.86%,98.6793,100,,100344132.7,,,前海一方,880000000,到期一次还本付息,103.56,98.6793,,,,,,,,,1899-12-30 00:00:00
116762.SZ,116762,一方碧18,AAA,2018/10/26 0:00,2017/11/16 0:00,5.86,预期收益率5.86%,95.1515,100,,100344132.7,,,前海一方,974000000,到期一次还本付息,100,95.1515,,,,,,,,,1899-12-30 00:00:00
116712.SZ,116712,一方碧17,AAA,2018/10/19 0:00,2017/10/31 0:00,5.8,预期收益率5.8%,98.6768,100,,100344132.7,,,前海一方,1010000000,到期一次还本付息,103.73,98.6768,,,,,,,,,1899-12-30 00:00:00
116687.SZ,116687,一方碧16,AAA,2018/10/12 0:00,2017/10/20 0:00,5.8,预期收益率5.8%,98.6821,100,,100344132.7,,,前海一方,895000000,到期一次还本付息,103.91,98.6821,,,,,,,,,1899-12-30 00:00:00
116686.SZ,116686,一方碧15,AAA,2018/9/14 0:00,2017/9/22 0:00,5.86,预期收益率5.86%,99.8584,100,,100344132.7,,,前海一方,974000000,到期一次还本付息,105.59,99.8584,,,,,,,,,1899-12-30 00:00:00
116660.SZ,116660,一方碧14,AAA,2018/8/31 0:00,2017/9/12 0:00,5.8,预期收益率5.8%,,100,,100344132.7,,,前海一方,785000000,到期一次还本付息,,,,,,,,,,,1899-12-30 00:00:00
116657.SZ,116657,一方碧13,AAA,2018/8/17 0:00,2017/8/30 0:00,5.8,预期收益率5.8%,,100,,100344132.7,,,前海一方,762000000,到期一次还本付息,,,,,,,,,,,1899-12-30 00:00:00
131101.SH,131101,扬汽05,AAA,2020/11/18 0:00,2015/11/18 0:00,5.2,预期收益率5.2%,100,100,2,,,,江苏扬汽集团,200000000,"每年5月18日和11月18日付息,节假日顺延",101.6953,100,,,,,,,,,1899-12-30 00:00:00
131100.SH,131100,扬汽04,AAA,2019/11/18 0:00,2015/11/18 0:00,5,预期收益率5.0%,100,100,2,,,,江苏扬汽集团,170000000,"每年5月18日和11月18日付息,节假日顺延",101.6301,100,,,,,,,,,1899-12-30 00:00:00
