证券代码,证券简称,"估价收益率(上清所)
[日期] 2018-09-14","估价收益率(上清所)
[日期] 2018-06-29","估价收益率(上清所)
[日期] 2018-03-30","估价收益率(上清所)
[日期] 2017-12-29↓","估价修正久期(上清所)
[日期] 2018-09-14","估价收益率(上清所)
[日期] 2017-10-10","估价修正久期(上清所)
[日期] 2017-10-10","估价修正久期(上清所)
[日期] 2018-06-29","估价修正久期(上清所)
[日期] 2018-03-30","估价修正久期(上清所)
[日期] 2017-12-29"
019925.SH,09国债25,4.0635,3.9335,4.1805,4.3676,13.5087,4.1884,13.7509,13.7966,13.5923,13.7034
019581.SH,17国债26,4.2402,3.9978,4.1619,4.3643,20.2105,,,21.0504,20.4382,20.1548
101726.SZ,国债1726,4.2402,3.9978,4.1619,4.3643,20.2105,,,21.0504,20.4382,20.1548
019565.SH,17国债11,4.2400,3.9976,4.1617,4.3641,20.3947,,,21.2370,20.6234,20.3375
101711.SZ,国债1711,4.2400,3.9976,4.1617,4.3641,20.3947,,,21.2370,20.6234,20.3375
019554.SH,16国债26,4.2398,3.9974,4.1615,4.3639,20.9409,,,21.8000,21.1738,20.8728
101626.SZ,国债1626,4.2398,3.9974,4.1615,4.3639,20.9409,,,21.8000,21.1738,20.8728
019541.SH,16国债13,4.2396,3.9972,4.1613,4.3637,20.6399,,,21.4797,20.8691,20.5842
101613.SZ,国债1613,4.2396,3.9972,4.1613,4.3637,20.6399,,,21.4797,20.8691,20.5842
019528.SH,15国债28,4.2395,3.9971,4.1612,4.3636,20.3824,,,21.2051,20.6085,20.3377
101528.SZ,国债1528,4.2395,3.9971,4.1612,4.3636,20.3824,,,21.2051,20.6085,20.3377
019427.SH,14国债27,4.2394,3.9970,4.1611,4.3635,19.9309,,,20.7226,20.1514,19.9062
101427.SZ,国债1427,4.2394,3.9970,4.1611,4.3635,19.9309,,,20.7226,20.1514,19.9062
019510.SH,15国债10,4.2394,3.9970,4.1611,4.3635,20.2254,,,21.0351,20.4493,20.1892
101510.SZ,国债1510,4.2394,3.9970,4.1611,4.3635,20.2254,,,21.0351,20.4493,20.1892
019410.SH,14国债10,4.2393,3.9969,4.1610,4.3634,19.5282,,,20.2975,19.7445,19.5181
101410.SZ,国债1410,4.2393,3.9969,4.1610,4.3634,19.5282,,,20.2975,19.7445,19.5181
019324.SH,13国债24,4.2392,3.9968,4.1609,4.3633,19.0183,,,19.7618,19.2293,19.0245
101324.SZ,国债1324,4.2392,3.9968,4.1609,4.3633,19.0183,,,19.7618,19.2293,19.0245
019310.SH,13国债10,4.2390,3.9966,4.1607,4.3631,19.7032,,,20.4678,19.9195,19.6961
101310.SZ,国债1310,4.2390,3.9966,4.1607,4.3631,19.7032,,,20.4678,19.9195,19.6961
019220.SH,12国债20,4.2389,3.9965,4.1606,4.3630,19.5218,,,20.2740,19.7358,19.5226
101220.SZ,国债1220,4.2389,3.9965,4.1606,4.3630,19.5218,,,20.2740,19.7358,19.5226
019208.SH,12国债08,4.2387,3.9963,4.1604,4.3628,19.5343,,,20.2804,19.7478,19.5393
101208.SZ,国债1208,4.2387,3.9963,4.1604,4.3628,19.5343,,,20.2804,19.7478,19.5393
101026.SZ,国债1026,4.0667,3.9260,4.1713,4.3625,14.1878,4.1795,14.4329,14.2114,14.2756,14.0863
019026.SH,10国债26,4.0667,3.9260,4.1713,4.3625,14.1878,4.1795,14.4329,14.2114,14.2756,14.0863
019123.SH,11国债23,4.2383,3.9959,4.1600,4.3624,19.3694,,,20.1041,19.5808,19.3817
101123.SZ,国债1123,4.2383,3.9959,4.1600,4.3624,19.3694,,,20.1041,19.5808,19.3817
019112.SH,11国债12,4.2379,3.9955,4.1596,4.3620,19.2095,,,19.9310,19.4194,19.2312
101112.SZ,国债1112,4.2379,3.9955,4.1596,4.3620,19.2095,,,19.9310,19.4194,19.2312
019037.SH,10国债37,4.2375,3.9951,4.1592,4.3616,19.1709,,,19.8855,19.3798,19.1970
101037.SZ,国债1037,4.2375,3.9951,4.1592,4.3616,19.1709,,,19.8855,19.3798,19.1970
101023.SZ,国债1023,3.9554,3.8154,4.0612,4.3611,14.2167,4.1783,14.3865,14.2428,14.3070,14.0401
019023.SH,10国债23,3.9554,3.8154,4.0612,4.3611,14.2167,4.1783,14.3865,14.2428,14.3070,14.0401
101517.SZ,国债1517,4.1618,3.9583,4.1599,4.3610,15.8952,4.1986,16.1066,15.9911,16.0204,15.7217
019517.SH,15国债17,4.1618,3.9583,4.1599,4.3610,15.8952,4.1986,16.1066,15.9911,16.0204,15.7217
019014.SH,10国债14,4.2369,3.9945,4.1586,4.3610,19.4307,,,20.1464,19.6414,19.4571
101014.SZ,国债1014,4.2369,3.9945,4.1586,4.3610,19.4307,,,20.1464,19.6414,19.4571
019930.SH,09国债30,4.2362,3.9938,4.1579,4.3603,19.1197,,,19.8199,19.3283,19.1565
100930.SZ,国债0930,4.2362,3.9938,4.1579,4.3603,19.1197,,,19.8199,19.3283,19.1565
101105.SZ,国债1105,4.0718,3.9259,4.1677,4.3602,14.1599,4.1768,14.3904,14.1828,14.2422,14.0381
019105.SH,11国债05,4.0718,3.9259,4.1677,4.3602,14.1599,4.1768,14.3904,14.1828,14.2422,14.0381
019577.SH,17国债22,4.2135,3.9858,4.1582,4.3572,16.0679,,,16.5379,16.2378,16.2371
101722.SZ,国债1722,4.2135,3.9858,4.1582,4.3572,16.0679,,,16.5379,16.2378,16.2371
101715.SZ,国债1715,4.2091,3.9820,4.1565,4.3563,16.3621,4.2183,16.5716,16.4987,16.5320,16.1941
019569.SH,17国债15,4.2091,3.9820,4.1565,4.3563,16.3621,4.2183,16.5716,16.4987,16.5320,16.1941
101425.SZ,国债1425,4.1334,3.9422,4.1536,4.3536,15.2293,4.1834,15.4305,15.6173,15.3332,15.3725
019425.SH,14国债25,4.1334,3.9422,4.1536,4.3536,15.2293,4.1834,15.4305,15.6173,15.3332,15.3725
100905.SZ,国债0905,4.0334,3.9086,4.1567,4.3416,13.4126,4.1655,13.9469,13.6935,13.5029,13.6210
019905.SH,09国债05,4.0334,3.9086,4.1567,4.3416,13.4126,4.1655,13.9469,13.6935,13.5029,13.6210
100706.SZ,国债0706,4.0263,3.9205,4.1594,4.3354,12.4879,4.1785,12.7735,12.7455,12.5999,12.7434
010706.SH,07国债06,4.0263,3.9205,4.1594,4.3354,12.4879,4.1785,12.7735,12.7455,12.5999,12.7434
101608.SZ,国债1608,4.3551,4.1393,4.3305,4.3306,16.1572,4.1766,16.5965,16.5940,16.2989,16.5378
019536.SH,16国债08,4.3551,4.1393,4.3305,4.3306,16.1572,4.1766,16.5965,16.5940,16.2989,16.5378
101619.SZ,国债1619,4.3602,4.1370,4.3223,4.3249,16.7316,4.1762,17.1848,16.8615,16.8915,16.8013
019547.SH,16国债19,4.3602,4.1370,4.3223,4.3249,16.7316,4.1762,17.1848,16.8615,16.8915,16.8013
100806.SZ,国债0806,4.0148,3.9007,4.1446,4.3243,12.7748,4.1569,13.0356,13.0429,12.8701,13.0017
019806.SH,08国债06,4.0148,3.9007,4.1446,4.3243,12.7748,4.1569,13.0356,13.0429,12.8701,13.0017
101319.SZ,国债1319,4.0672,3.8926,4.1162,4.3136,14.5273,4.1355,15.0430,14.8866,14.9257,14.6677
019319.SH,13国债19,4.0672,3.8926,4.1162,4.3136,14.5273,4.1355,15.0430,14.8866,14.9257,14.6677
100820.SZ,国债0820,3.9985,3.8784,4.1263,4.3095,13.3326,4.1370,13.6015,13.6072,13.4306,13.5552
019820.SH,08国债20,3.9985,3.8784,4.1263,4.3095,13.3326,4.1370,13.6015,13.6072,13.4306,13.5552
101508.SZ,国债1508,3.9763,3.8836,4.0980,4.2703,11.6153,4.1393,11.9567,11.8568,11.7688,11.9323
019508.SH,15国债08,3.9763,3.8836,4.0980,4.2703,11.6153,4.1393,11.9567,11.8568,11.7688,11.9323
101316.SZ,国债1316,3.9918,3.9068,4.0877,4.2649,10.7594,4.1487,11.1482,10.7713,10.9479,10.8947
019316.SH,13国债16,3.9918,3.9068,4.0877,4.2649,10.7594,4.1487,11.1482,10.7713,10.9479,10.8947
101521.SZ,国债1521,4.0752,3.9804,4.2029,4.2522,11.9292,4.1163,12.5664,12.1732,12.3154,12.2932
019521.SH,15国债21,4.0752,3.9804,4.2029,4.2522,11.9292,4.1163,12.5664,12.1732,12.3154,12.2932
101409.SZ,国债1409,3.9645,3.8767,4.0719,4.2455,10.8009,4.1226,11.1492,11.0367,10.9640,11.1346
019409.SH,14国债09,3.9645,3.8767,4.0719,4.2455,10.8009,4.1226,11.1492,11.0367,10.9640,11.1346
101417.SZ,国债1417,3.9474,3.8579,4.0580,4.2311,11.1462,4.1070,11.4985,11.1497,11.3103,11.2361
019417.SH,14国债17,3.9474,3.8579,4.0580,4.2311,11.1462,4.1070,11.4985,11.1497,11.3103,11.2361
101206.SZ,国债1206,3.9577,3.8750,4.0332,4.2181,10.0607,4.1024,10.4942,10.2873,10.2767,10.4599
019206.SH,12国债06,3.9577,3.8750,4.0332,4.2181,10.0607,4.1024,10.4942,10.2873,10.2767,10.4599
101309.SZ,国债1309,3.9319,3.8483,4.0240,4.2032,10.6342,4.0885,11.0388,10.8643,10.8321,11.0095
019309.SH,13国债09,3.9319,3.8483,4.0240,4.2032,10.6342,4.0885,11.0388,10.8643,10.8321,11.0095
101218.SZ,国债1218,3.9051,3.8226,3.9884,4.1705,10.2541,4.0552,10.8889,10.4823,10.6715,10.6406
019218.SH,12国债18,3.9051,3.8226,3.9884,4.1705,10.2541,4.0552,10.8889,10.4823,10.6715,10.6406
101110.SZ,国债1110,3.8414,3.7572,3.9065,4.0931,9.4858,3.9698,9.9510,9.7099,9.7181,9.9081
019110.SH,11国债10,3.8414,3.7572,3.9065,4.0931,9.4858,3.9698,9.9510,9.7099,9.7181,9.9081
100619.SZ,国债0619,3.6607,3.5888,3.8483,4.0406,2.8953,3.8274,3.6724,3.1012,3.2801,3.5128
010619.SH,06国债(19),3.6607,3.5888,3.8483,4.0406,2.8953,3.8274,3.6724,3.1012,3.2801,3.5128
100504.SZ,国债0504,3.8217,3.6769,3.9207,4.0322,5.6127,3.8816,6.2596,5.8283,5.9296,6.1590
010504.SH,05国债(4),3.8217,3.6769,3.9207,4.0322,5.6127,3.8816,6.2596,5.8283,5.9296,6.1590
101029.SZ,国债1029,3.7608,3.6773,3.8283,4.0119,9.3603,3.8802,9.8712,9.4080,9.6139,9.6280
019029.SH,10国债29,3.7608,3.6773,3.8283,4.0119,9.3603,3.8802,9.8712,9.4080,9.6139,9.6280
100713.SZ,国债0713,3.7646,3.6346,3.8305,3.9833,7.1926,3.7270,7.7835,7.2624,7.4749,7.5328
010713.SH,07国债13,3.7646,3.6346,3.8305,3.9833,7.1926,3.7270,7.7835,7.2624,7.4749,7.5328
101610.SZ,国债1610,3.7746,3.6453,3.8306,3.9691,6.5556,3.7391,7.2394,6.7717,6.8884,7.1134
019538.SH,16国债10,3.7746,3.6453,3.8306,3.9691,6.5556,3.7391,7.2394,6.7717,6.8884,7.1134
100303.SZ,国债0303,3.6570,3.5854,3.8483,3.9686,4.0753,3.8177,4.8032,4.2824,4.4331,4.6663
010303.SH,03国债(3),3.6570,3.5854,3.8483,3.9686,4.0753,3.8177,4.8032,4.2824,4.4331,4.6663
101617.SZ,国债1617,3.7702,3.6395,3.8198,3.9677,6.8316,3.7162,7.5260,6.9482,7.1692,7.2852
019545.SH,16国债17,3.7702,3.6395,3.8198,3.9677,6.8316,3.7162,7.5260,6.9482,7.1692,7.2852
101009.SZ,国债1009,3.7095,3.6266,3.7812,3.9605,8.9525,3.8215,9.4613,9.1735,9.2031,9.4023
019009.SH,10国债09,3.7095,3.6266,3.7812,3.9605,8.9525,3.8215,9.4613,9.1735,9.2031,9.4023
101917.SZ,国债917,3.5289,3.4968,3.7411,3.9508,2.6311,3.7489,3.3989,2.7797,3.0125,3.1803
010107.SH,21国债(7),3.5289,3.4968,3.7411,3.9508,2.6311,3.7489,3.3989,2.7797,3.0125,3.1803
100609.SZ,国债0609,3.7383,3.6099,3.7934,3.9385,6.5312,3.6972,7.1800,6.7480,6.8461,7.0695
010609.SH,06国债(9),3.7383,3.6099,3.7934,3.9385,6.5312,3.6972,7.1800,6.7480,6.8461,7.0695
100911.SZ,国债0911,3.6446,3.5014,3.7933,3.9368,4.9934,3.7548,5.6842,5.2066,5.3319,5.5612
019911.SH,09国债11,3.6446,3.5014,3.7933,3.9368,4.9934,3.7548,5.6842,5.2066,5.3319,5.5612
101718.SZ,国债1718,3.7172,3.5859,3.7803,3.9329,7.3733,3.6433,8.0078,7.4614,7.6754,7.7535
019572.SH,17国债18,3.7172,3.5859,3.7803,3.9329,7.3733,3.6433,8.0078,7.4614,7.6754,7.7535
100512.SZ,国债0512,3.3773,3.4750,3.6676,3.9227,2.0114,3.7394,2.8078,2.2133,2.4077,2.6411
010512.SH,05国债(12),3.3773,3.4750,3.6676,3.9227,2.0114,3.7394,2.8078,2.2133,2.4077,2.6411
101710.SZ,国债1710,3.7071,3.5747,3.7658,3.9192,7.1510,3.6498,7.7863,7.3710,7.4556,7.6749
019564.SH,17国债10,3.7071,3.5747,3.7658,3.9192,7.1510,3.6498,7.7863,7.3710,7.4556,7.6749
100920.SZ,国债0920,3.6484,3.5642,3.7293,3.8993,8.6781,3.7444,9.2169,8.7325,8.9406,8.9729
019920.SH,09国债20,3.6484,3.5642,3.7293,3.8993,8.6781,3.7444,9.2169,8.7325,8.9406,8.9729
101706.SZ,国债1706,3.5866,3.4521,3.7496,3.8942,4.8721,3.7094,5.5899,5.0842,5.3058,5.3649
019560.SH,17国债06,3.5866,3.4521,3.7496,3.8942,4.8721,3.7094,5.5899,5.0842,5.3058,5.3649
101523.SZ,国债1523,3.7056,3.5681,3.7790,3.8939,6.1090,3.7228,6.7959,6.3247,6.4453,6.6741
019523.SH,15国债23,3.7056,3.5681,3.7790,3.8939,6.1090,3.7228,6.7959,6.3247,6.4453,6.6741
101507.SZ,国债1507,3.5422,3.4483,3.7144,3.8929,3.2673,3.6803,4.0323,3.4746,3.5790,3.8113
019507.SH,15国债07,3.5422,3.4483,3.7144,3.8929,3.2673,3.6803,4.0323,3.4746,3.5790,3.8113
101713.SZ,国债1713,3.5906,3.4421,3.7394,3.8858,5.0902,3.7006,5.7946,5.3036,5.3399,5.5688
019567.SH,17国债13,3.5906,3.4421,3.7394,3.8858,5.0902,3.7006,5.7946,5.3036,5.3399,5.5688
100823.SZ,国债0823,3.5788,3.4709,3.7537,3.8851,4.5733,3.7162,5.2806,4.7834,4.9201,5.1516
019823.SH,08国债23,3.5788,3.4709,3.7537,3.8851,4.5733,3.7162,5.2806,4.7834,4.9201,5.1516
100813.SZ,国债0813,3.6426,3.5387,3.7302,3.8833,7.7525,3.6819,8.2940,7.8031,8.0109,8.0454
019813.SH,08国债13,3.6426,3.5387,3.7302,3.8833,7.7525,3.6819,8.2940,7.8031,8.0109,8.0454
101720.SZ,国债1720,3.6072,3.4510,3.7429,3.8821,5.1290,3.7064,6.0172,5.3444,5.5626,5.7918
019575.SH,17国债20,3.6072,3.4510,3.7429,3.8821,5.1290,3.7064,6.0172,5.3444,5.5626,5.7918
101124.SZ,国债1124,3.4134,3.3416,3.6011,3.8768,2.8954,3.6635,3.6634,3.1018,3.2775,3.5074
019124.SH,11国债24,3.4134,3.3416,3.6011,3.8768,2.8954,3.6635,3.6634,3.1018,3.2775,3.5074
101505.SZ,国债1505,3.6592,3.5097,3.7625,3.8758,5.6020,3.7255,6.3842,5.8179,5.9292,6.1590
019505.SH,15国债05,3.6592,3.5097,3.7625,3.8758,5.6020,3.7255,6.3842,5.8179,5.9292,6.1590
019582.SH,17国债27,3.6202,3.4647,3.7437,3.8712,5.3390,,,5.5548,5.7732,6.0030
101727.SZ,国债1727,3.6202,3.4647,3.7437,3.8712,5.3390,,,5.5548,5.7732,6.0030
101119.SZ,国债1119,3.4574,3.4154,3.6632,3.8709,2.6908,3.6669,3.4673,2.8434,3.0763,3.2483
019119.SH,11国债19,3.4574,3.4154,3.6632,3.8709,2.6908,3.6669,3.4673,2.8434,3.0763,3.2483
019580.SH,17国债25,3.6457,3.5195,3.7182,3.8687,7.4300,,,7.6511,7.7196,7.9371
101725.SZ,国债1725,3.6457,3.5195,3.7182,3.8687,7.4300,,,7.6511,7.7196,7.9371
101704.SZ,国债1704,3.6572,3.5237,3.7094,3.8642,7.0855,3.5937,7.7399,7.1833,7.4010,7.4921
019558.SH,17国债04,3.6572,3.5237,3.7094,3.8642,7.0855,3.5937,7.7399,7.1833,7.4010,7.4921
100825.SZ,国债0825,2.3906,3.3041,3.4205,3.8618,0.2505,3.6290,1.1161,0.4560,0.6792,0.9163
019825.SH,08国债25,2.3906,3.3041,3.4205,3.8618,0.2505,3.6290,1.1161,0.4560,0.6792,0.9163
101625.SZ,国债1625,3.5415,3.4308,3.7195,3.8521,4.6071,3.6822,5.3414,4.8174,5.0408,5.2728
019553.SH,16国债25,3.5415,3.4308,3.7195,3.8521,4.6071,3.6822,5.3414,4.8174,5.0408,5.2728
101412.SZ,国债1412,3.5586,3.4153,3.7066,3.8503,4.9843,3.6685,5.6652,5.1978,5.3179,5.5473
019412.SH,14国债12,3.5586,3.4153,3.7066,3.8503,4.9843,3.6685,5.6652,5.1978,5.3179,5.5473
101308.SZ,国债1308,3.1338,3.3546,3.5231,3.8448,1.5099,3.6336,2.3378,1.7107,1.8879,2.1217
019308.SH,13国债08,3.1338,3.3546,3.5231,3.8448,1.5099,3.6336,2.3378,1.7107,1.8879,2.1217
101707.SZ,国债1707,3.4925,3.3975,3.6643,3.8425,3.2809,3.6297,4.0585,3.4883,3.6049,3.8375
019561.SH,17国债07,3.4925,3.3975,3.6643,3.8425,3.2809,3.6297,4.0585,3.4883,3.6049,3.8375
101429.SZ,国债1429,3.5936,3.4403,3.7146,3.8400,5.3937,3.6800,6.0696,5.6091,5.7251,5.9548
019429.SH,14国债29,3.5936,3.4403,3.7146,3.8400,5.3937,3.6800,6.0696,5.6091,5.7251,5.9548
101405.SZ,国债1405,3.5294,3.4007,3.6923,3.8353,4.6989,3.6522,5.4798,4.9113,5.1322,5.2546
019405.SH,14国债05,3.5294,3.4007,3.6923,3.8353,4.6989,3.6522,5.4798,4.9113,5.1322,5.2546
101604.SZ,国债1604,3.6474,3.5150,3.7077,3.8350,6.4184,3.6350,7.1164,6.5381,6.7598,6.8835
019532.SH,16国债04,3.6474,3.5150,3.7077,3.8350,6.4184,3.6350,7.1164,6.5381,6.7598,6.8835
101012.SZ,国债1012,3.1585,3.3628,3.5305,3.8348,1.5609,3.6331,2.3818,1.7619,1.9694,2.2034
019012.SH,10国债12,3.1585,3.3628,3.5305,3.8348,1.5609,3.6331,2.3818,1.7619,1.9694,2.2034
101102.SZ,国债1102,3.3240,3.3869,3.5909,3.8336,2.1814,3.6506,2.9728,2.3396,2.5752,2.7558
019102.SH,11国债02,3.3240,3.3869,3.5909,3.8336,2.1814,3.6506,2.9728,2.3396,2.5752,2.7558
101701.SZ,国债1701,3.4635,3.3752,3.6430,3.8326,3.0534,3.6148,3.8384,3.2604,3.4916,3.6177
019555.SH,17国债01,3.4635,3.3752,3.6430,3.8326,3.0534,3.6148,3.8384,3.2604,3.4916,3.6177
101516.SZ,国债1516,3.8108,3.6685,3.7203,3.8306,5.8692,3.6772,6.5595,5.9795,6.2152,6.3328
019516.SH,15国债16,3.8108,3.6685,3.7203,3.8306,5.8692,3.6772,6.5595,5.9795,6.2152,6.3328
100902.SZ,国债0902,3.5818,3.4915,3.6689,3.8297,8.3885,3.6554,8.9528,8.4522,8.6610,8.7075
019902.SH,09国债02,3.5818,3.4915,3.6689,3.8297,8.3885,3.6554,8.9528,8.4522,8.6610,8.7075
101421.SZ,国债1421,3.5546,3.4040,3.6922,3.8288,5.1081,3.6540,5.8871,5.3231,5.5419,5.6610
019421.SH,14国债21,3.5546,3.4040,3.6922,3.8288,5.1081,3.6540,5.8871,5.3231,5.5419,5.6610
101714.SZ,国债1714,3.4905,3.4019,3.6645,3.8288,3.5055,3.6300,4.2727,3.5898,3.8190,4.0518
019568.SH,17国债14,3.4905,3.4019,3.6645,3.8288,3.5055,3.6300,4.2727,3.5898,3.8190,4.0518
101623.SZ,国债1623,3.8887,3.7571,3.6757,3.8279,6.9678,3.5601,7.6855,7.1852,7.3295,7.5518
019551.SH,16国债23,3.8887,3.7571,3.6757,3.8279,6.9678,3.5601,7.6855,7.1852,7.3295,7.5518
101034.SZ,国债1034,3.2689,3.3738,3.5639,3.8253,1.9656,3.6416,2.7625,2.1675,2.3622,2.5958
019034.SH,10国债34,3.2689,3.3738,3.5639,3.8253,1.9656,3.6416,2.7625,2.1675,2.3622,2.5958
019576.SH,17国债21,3.4943,3.4182,3.6786,3.8251,3.6218,,,3.8291,4.0577,4.2909
101721.SZ,国债1721,3.4943,3.4182,3.6786,3.8251,3.6218,,,3.8291,4.0577,4.2909
101614.SZ,国债1614,3.5100,3.4286,3.7014,3.8228,4.3165,3.6698,5.0700,4.5245,4.6163,4.8495
019542.SH,16国债14,3.5100,3.4286,3.7014,3.8228,4.3165,3.6698,5.0700,4.5245,4.6163,4.8495
101615.SZ,国债1615,3.3861,3.3557,3.6058,3.8206,2.6597,3.6147,3.4751,2.7902,3.0233,3.2565
019543.SH,16国债15,3.3861,3.3557,3.6058,3.8206,2.6597,3.6147,3.4751,2.7902,3.0233,3.2565
100916.SZ,国债0916,2.8920,3.2877,3.4084,3.8131,0.8199,3.5735,1.6705,1.0046,1.2445,1.4554
019916.SH,09国债16,2.8920,3.2877,3.4084,3.8131,0.8199,3.5735,1.6705,1.0046,1.2445,1.4554
101620.SZ,国债1620,3.5021,3.4063,3.6874,3.8124,4.5369,3.6533,5.2980,4.6195,4.8440,5.0768
019548.SH,16国债20,3.5021,3.4063,3.6874,3.8124,4.5369,3.6533,5.2980,4.6195,4.8440,5.0768
101606.SZ,国债1606,3.4938,3.4212,3.6879,3.8109,4.0926,3.6565,4.8538,4.2999,4.5275,4.6335
019534.SH,16国债06,3.4938,3.4212,3.6879,3.8109,4.0926,3.6565,4.8538,4.2999,4.5275,4.6335
101204.SZ,国债1204,3.4532,3.3613,3.6218,3.8048,3.1562,3.5934,3.9297,3.3082,3.5392,3.7091
019204.SH,12国债04,3.4532,3.3613,3.6218,3.8048,3.1562,3.5934,3.9297,3.3082,3.5392,3.7091
100802.SZ,国债0802,3.4897,3.4201,3.6776,3.8042,3.9720,3.6504,4.6929,4.0998,4.3272,4.4725
019802.SH,08国债02,3.4897,3.4201,3.6776,3.8042,3.9720,3.6504,4.6929,4.0998,4.3272,4.4725
101607.SZ,国债1607,3.3267,3.3423,3.5741,3.8040,2.4218,3.6086,3.2383,2.6256,2.7872,3.0205
019535.SH,16国债07,3.3267,3.3423,3.5741,3.8040,2.4218,3.6086,3.2383,2.6256,2.7872,3.0205
101514.SZ,国债1514,3.4651,3.3758,3.6386,3.8033,3.5040,3.6038,4.2765,3.5933,3.8227,4.0555
019514.SH,15国债14,3.4651,3.3758,3.6386,3.8033,3.5040,3.6038,4.2765,3.5933,3.8227,4.0555
101526.SZ,国债1526,3.4737,3.3964,3.6576,3.8020,3.6828,3.6246,4.4347,3.8902,4.1190,4.3524
019526.SH,15国债26,3.4737,3.3964,3.6576,3.8020,3.6828,3.6246,4.4347,3.8902,4.1190,4.3524
101424.SZ,国债1424,3.4046,3.3372,3.5994,3.8012,2.8010,3.5857,3.5619,3.0072,3.2392,3.4722
019424.SH,14国债24,3.4046,3.3372,3.5994,3.8012,2.8010,3.5857,3.5619,3.0072,3.2392,3.4722
101305.SZ,国债1305,3.4880,3.4178,3.6756,3.8011,3.9973,3.6474,4.7381,4.1346,4.3622,4.5180
019305.SH,13国债05,3.4880,3.4178,3.6756,3.8011,3.9973,3.6474,4.7381,4.1346,4.3622,4.5180
101511.SZ,国债1511,3.1269,3.3184,3.4903,3.7992,1.6180,3.5962,2.4493,1.8191,1.9993,2.2331
019511.SH,15国债11,3.1269,3.3184,3.4903,3.7992,1.6180,3.5962,2.4493,1.8191,1.9993,2.2331
101209.SZ,国债1209,3.4584,3.3693,3.6290,3.7962,3.3480,3.5933,4.1112,3.5554,3.7251,3.9581
019209.SH,12国债09,3.4584,3.3693,3.6290,3.7962,3.3480,3.5933,4.1112,3.5554,3.7251,3.9581
101621.SZ,国债1621,3.4021,3.3319,3.5956,3.7957,2.8578,3.5807,3.6581,3.0641,3.2961,3.5294
019549.SH,16国债21,3.4021,3.3319,3.5956,3.7957,2.8578,3.5807,3.6581,3.0641,3.2961,3.5294
